InputID,TargetID,Distance
"42","22958",9.93393702699472
"42","22959",13.0625486033003
"42","87707",33.2254507225823
"42","87711",21.7435116868587
"42","87712",23.5797468292449
"47","23054",43.0489446306832
"47","23055",65.1902962345963
"47","23056",53.3893953684672
"47","23057",50.4806551222482
"47","87768",52.0389466289819
"50","22132",99.5089726457536
"50","22140",16.363780770738
"50","22141",29.1298653537854
"50","87396",12.0386668677304
"50","87400",53.1198926248878
"51","24327",16.7045866238507
"51","24330",59.1013902482704
"51","24335",64.6984560415231
"51","88430",6.3808425198428
"51","88432",49.4616689963024
"73","21593",28.0089159227471
"73","21596",6.22715024829464
"73","21597",22.1566388058297
"73","21599",31.6582506167654
"73","87170",10.4004501879122
"34","21550",40.0066665012357
"34","21579",25.9722542479379
"34","21581",18.8224688499077
"34","21594",52.0193248892991
"34","87174",12.0527870998995
"1","21164",8.47699493565527
"1","21165",33.598910029063
"1","21167",16.1675201204089
"1","21170",34.4301110655307
"1","21171",32.5193580034392
"2","14350",10.8128755988634
"2","14351",8.39625962352044
"2","14352",27.3020203774152
"2","84476",45.1235988892291
"2","84477",26.4275889799263
"4","20890",13.8980776094515
"4","20892",25.2959304041959
"4","20921",40.8654611715391
"4","86996",20.9206124984189
"4","86999",30.4473237469233
"5","14308",56.3491361530057
"5","14309",109.445649484818
"5","14312",60.4484085896722
"5","14313",55.2344822396929
"5","84461",42.9493912419071
"6","20031",25.2758629897428
"6","20032",29.877035771869
"6","20033",54.5704066691007
"6","86784",49.104555090361
"6","86785",11.2222004567252
"7","20896",22.788804395022
"7","20897",51.0277045211122
"7","20898",38.8073806904007
"7","20899",13.9082922763682
"7","20912",72.1919262183059
"8","14402",13.6236805771546
"8","14403",32.3177150635735
"8","14404",3.59432250803874
"8","14405",32.1922564075394
"8","14406",27.115979306098
"9","19778",32.8307012403484
"9","19780",14.0511023567579
"9","19781",6.35140634519107
"9","19782",136.493502386213
"9","86650",46.9340459247194
"10","19655",6.0739335235804
"10","19656",62.2316259547258
"10","19657",33.8784601906036
"10","86612",58.90937611188
"10","86641",68.3804041041388
"11","18919",82.3563337816235
"11","18926",55.8955811537431
"11","18928",2.19554428457343
"11","18930",67.2972613099125
"11","18931",37.6396695982689
"12","18923",17.6728211879963
"12","18924",5.36709373685917
"12","18925",30.1985065203938
"12","18926",67.9067021362316
"12","19744",78.2491069415408
"13","19033",117.548154644407
"13","19035",55.8483490565229
"13","19037",103.847897939645
"13","19039",99.0288098071211
"13","86380",12.3723126026633
"14","18910",58.8740807410939
"14","18952",53.1223566166651
"14","18953",61.1102157729754
"14","18954",40.2769917492346
"14","86341",1.16717021813734
"15","18901",19.7151339688139
"15","18902",75.9268960268618
"15","86328",32.9389466101129
"15","86329",7.95008538347515
"15","86330",21.6276389940233
"16","18773",44.308962072927
"16","18778",115.776141026318
"16","86281",109.784377119164
"16","86282",1.96911196184137
"16","86283",17.6803533828741
"17","19876",64.3872991773595
"17","19877",102.059565538726
"17","86615",90.4790191575856
"17","86701",80.0879503035561
"17","86702",85.7851755836602
"18","13627",45.0435900358358
"18","13824",41.2779533399959
"18","84268",25.5800917052172
"18","84269",29.1251339335224
"18","84270",6.35402333934077
"19","13572",85.353935582073
"19","13575",6.05129237145817
"19","13576",49.0825375032733
"19","84250",55.1178761504237
"19","84251",52.3275599896997
"20","13582",34.6806316075814
"20","13584",16.5441351627854
"20","13585",54.2298982213937
"20","13586",35.0114611314008
"20","13606",30.7738403357515
"21","19552",6.28544306739305
"21","86579",28.0256674177694
"21","86580",31.2974470190346
"21","86581",22.8050678672322
"21","86583",18.2589718295411
"22","19559",37.8626885887109
"22","19560",41.4103380655566
"22","19561",5.0141369657186
"22","86587",28.2190104111883
"22","86588",37.5414515706511
"23","19513",85.1101333026167
"23","19524",5.12513065265585
"23","19529",34.1979831276964
"23","19531",79.4133275064806
"23","86571",16.3082729019974
"24","19593",76.359450815181
"24","19594",31.2187904102001
"24","19595",5.47555269212684
"24","19597",53.0128381955178
"24","19641",116.533481119989
"25","23268",7.37360395490071
"25","23434",45.9739634607844
"25","87776",46.1231792605715
"25","87878",8.54633445386538
"25","87880",25.5334831933539
"26","6048",15.8993473429017
"26","6078",15.8993473429017
"26","23013",16.7723881035913
"26","23276",28.3155689877709
"26","69773",17.2754623007391
"27","87317",60.7799121525874
"27","87318",59.2394310709167
"27","87342",11.4962255110219
"27","87344",42.5951620697236
"27","87345",5.04699788099863
"28","22062",38.6105019011834
"28","22064",4.98385988766569
"28","22065",69.9430801198721
"28","87348",18.2038246258527
"28","87349",75.3524227051532
"29","22133",42.0097025742182
"29","22135",41.8802116150126
"29","22136",5.69361074176785
"29","22137",32.0994463109286
"29","22138",32.4993101465857
"30","22263",8.23104038078593
"30","22264",15.3700694490413
"30","22265",62.9806908727347
"30","86454",64.9664236383322
"30","87237",19.8959363113138
"31","19214",17.2228524348193
"31","19219",35.5318322704333
"31","19221",38.2589647868974
"31","86453",41.9831570558852
"31","86456",14.1495238965378
"44","22957",25.0287202760831
"44","87706",10.0196461559665
"44","87728",21.3873549776681
"44","87729",15.358224236931
"44","87730",28.1560024806705
"46","23015",23.6405472778307
"46","23022",12.4639080392899
"46","23023",11.1873079001636
"46","87744",23.9227770252418
"46","87746",5.40196887248399
"54","13659",7.95580628277148
"54","13660",44.2754473489924
"54","13661",9.90383283152044
"54","13662",62.6013029497797
"54","13667",88.1455839289781
"57","5884",93.8411672535583
"57","5885",61.5473133762618
"57","69648",14.428786165158
"57","69680",92.3176281059491
"57","69682",30.2441405108892
"59","19403",151.229851158818
"59","19404",117.268849636278
"59","19405",7.96507332140429
"59","19406",27.5340928000071
"59","19407",60.7499391480909
"60","19334",141.269209092596
"60","19354",121.065979629817
"60","19361",18.8140839331068
"60","19363",58.8573907642792
"60","19364",9.000622246452
"70","20528",49.4562037997897
"70","20529",29.5163776934604
"70","20530",9.69737331831093
"70","20551",54.557270749139
"70","20552",31.7433968793555
"72","21539",25.8398243507398
"72","21540",87.9876257514184
"72","21541",70.8921532266877
